book	chapter	verse	Bohairic	Akhmimic	Fayyumic	OldBohairic	Mesokemic	DialectP	Lycopolitan	Greek	English	Sahidic
Song of Songs	1	1			 [ⲁⲥⲙⲁ ⲁⲥⲙⲁⲧⲱⲛ]					 ᾎσµα ᾀσµάτων, ὅ ἐστιν τῷ Σαλωµων.	 The Song of songs, which is Solomon’s.	 [ⲡϫⲱ ⲛ̅ⲧⲉ] ⲛⲓϫⲱ [ⲉⲧⲉ ⲡⲁ ⲥⲟⲗⲟ]ⲙⲱⲛ ⲡⲉ [ⲉϥϫⲱ ⲙ̅ⲙ]ⲟⲥ
Song of Songs	1	2			 ⲙⲁⲗⲉϥϯ ⲡⲓ ⲉⲗⲱⲉⲓ. ⲉⲃⲁⲗ [ϩⲓⲛ ⲙ̈ⲡⲓ ⲛ̈ⲧⲉ ⲡⲉϥⲗⲁ÷ ϫ]ⲉ ⲛⲁⲛⲟⲩ ⲛⲉⲕⲓⲕⲉⲓⲃⲉⲓ ⲉϩⲟⲩⲁⲥⲧ ⲉⲟⲩⲏⲗⲡ÷					 Φιλησάτω µε ἀπὸ φιληµάτων στόµατος αὐτοῦ, ὅτι ἀγαθοὶ µαστοί σου ὑπὲρ οἶνον,	 Let him kiss me with the kisses of his mouth: for thy breasts are better than wine.	 ϫⲉ ⲙⲁ[ⲣⲉϥϯ ⲡⲉⲓ ⲉ]ⲣⲱⲓ ⲉⲃⲟⲗ [ϩⲛ̅ ⲙ̅ⲡⲉⲓ] ⲛ̅ⲧⲉ ⲧⲉϥⲧⲁ[ⲡⲣⲟ ϫⲉ] ⲛⲁⲛⲟⲩ ⲛⲉⲕ[ⲉⲕⲓⲃ]ⲉ ⲛ̅ϩⲟⲩⲉ ⲡⲏⲣⲡ̅
Song of Songs	1	3			 ⲁϩⲁ [ⲡⲉⲥⲧⲁⲉⲓ ⲛ̈ⲛⲉⲕⲥⲁ]ϫⲓⲛ ⲛⲁⲛⲟⲩ[ϥ] ⲉϩⲟⲩⲁⲥⲧ ⲉⲥⲁϫⲓⲛ ⲛⲓⲙⲉⲓ÷ ⲟⲩⲥⲁ[ϫⲓⲛ ⲉϥⲡⲏⲛ ⲉⲃⲁⲗ] ⲡⲉ ⲡⲉⲕⲗⲉ[ⲛ÷] ⲉⲗⲃⲉ ⲡⲉⲓ ϩⲉⲛⲁⲗⲁⲩⲓ̈ ⲛϩⲓⲁⲙⲓ ⲁⲩ[ⲙⲏⲓ̈ ⲙ̈ⲙⲁⲕ÷]					 καὶ ὀσµὴ µύρων σου ὑπὲρ πάντα τὰ ἀρώµατα, µύρον ἐκκενωθὲν ὄνοµά σου. διὰ τοῦτο νεάνιδες ἠγάπησάν σε,	 And the smell of thine ointments is better than all spices: thy name is ointment poured forth; therefore do the young maidens love thee.	 [ⲁⲩ]ⲱ ⲡⲉⲥⲧⲟⲓ ⲛ̅ⲛⲉⲕ[ⲥⲟϭ]ⲛ̅ ⲉϥϣⲱϣ ⲛ̅ϩⲟⲩ[ⲉ ⲛ̅ϩ]ⲏⲛⲉ ⲧⲏⲣⲟⲩ.  [ⲡⲉ]ⲕⲣⲁⲛ ⲟⲩⲥⲟϭⲛ̅ ⲡⲉ ⲉⲁⲩⲥⲙⲟⲩ ⲉⲣⲟϥ ⲁⲩⲱ ϥⲡⲏⲛ ⲉⲃⲟⲗ. ⲉⲧⲃⲉ ⲡⲁⲓ ⲁ ⲛ̅ϣⲉⲉⲣⲉ ϣⲏⲙ ⲙⲉⲣⲓⲧⲕ̅.
Song of Songs	1	4			 [ⲁⲩ]ⲥⲁⲕ ⲛ̈ⲥⲁ ⲡⲉϩⲟⲩ ⲛ̈ⲛⲉⲕⲥⲁϫⲓⲛ÷ ⲁϩⲁ ⲡⲣⲣⲁ ⲁϥⲛ̈ⲧϯ ⲉϩ[ⲟⲩⲛ ⲉⲡⲉϥⲧ]ⲁⲙⲓⲟⲛ÷ ⲉⲛⲉⲧⲉⲗⲏⲗ ⲛ̈ⲧⲉⲛⲟⲩⲛⲁϥ ϩⲗⲏⲓ̈ ⲛ̈ϩⲏⲧⲕ[÷ ⲧⲉⲛⲉⲙⲉ(ⲗ)ⲗ]ⲉ ⲛⲉⲕⲕⲓⲃⲓ ⲉϩⲟⲩⲁⲥⲧ ⲉⲟⲩⲏⲗⲡ÷ ⲡⲥⲁⲩⲧⲉⲛ ⲡⲉⲛⲧⲁϥⲙⲉⲗ[ⲗⲓϯ÷]					 εἵλκυσάν σε, ὀπίσω σου εἰς ὀσµὴν µύρων σου δραµοῦµεν. Εἰσήνεγκέν µε ὁ βασιλεὺς εἰς τὸ ταµιεῖον αὐτοῦ. Ἀγαλλιασώµεθα καὶ εὐφρανθῶµεν ἐν σοί, ἀγαπήσοµεν µαστούς σου ὑπὲρ οἶνον· εὐθύτης ἠγάπησέν σε.	 They have drawn thee: we will run after thee, for the smell of thine ointments: the king has brought me into closet: let us rejoice and be glad in thee; we will love thy breasts more than wine: righteousness loves thee.	 ⲁⲩⲥⲟⲕⲕ̅ ⲛⲁⲩ ⲉⲡⲁϩⲟⲩ ⲉⲛⲛⲁⲡⲱⲧ ⲉⲟⲩⲁϩⲛ̅ ⲛ̅ⲥⲁ ⲡⲉⲥⲧⲟⲓ ⲛ̅ⲛⲉⲕⲥⲟϭⲛ̅ ⲁ ⲡⲣ̅ⲣⲟ ϫⲓ [ⲙ̅ⲙⲟⲓ] ⲉϩⲟⲩⲛ [ⲉⲡⲉϥⲧⲁⲙⲓ]ⲟⲛ ⲧⲛ̅[ⲛⲁⲧⲉⲗⲏⲗ] ϭⲉ ⲛ̅ⲧⲛ̅[ⲉⲩⲫⲣⲁⲛⲉ] ⲛ̅ϩⲏⲧⲉ. [ⲧⲛ̅ⲛⲁ]ⲙⲉⲣⲉ ⲛⲟⲩ[ⲉⲕⲓⲃⲉ] ⲉϩⲟⲩⲉ ⲡⲏⲣ[ⲡ̅ ϫⲉ ⲁ] ⲡⲉⲧⲥⲟⲩⲧⲱ[ⲛ ⲙⲉ]ⲣⲓⲧⲉ.
Song of Songs	1	5			 [ⲁⲛⲁ]ⲕ ⲟⲩⲕⲁⲙⲏ ⲁϩⲁ ⲛⲁⲛⲟⲩⲥ ⲛ̈ⲛⲓⲛϣⲏⲗⲓ ⲛ̈ⲥϩⲓⲙⲉⲓ ⲛ̈ⲧⲉ ⲡⲓⲥ̅[ⲗ̅÷ ⲛ̈ⲑⲏ ⲛ̈]ⲛⲓⲙⲁ ⲛ̈ϣⲱⲡⲓ ⲛ̈ⲕⲏⲇⲁⲣ÷ ⲛ̈ⲑⲏ ⲙ̈ⲡⲁϥⲟⲩⲓ̈ ⲛ̈ⲥⲁⲗⲟⲙⲱ[ⲛ÷]					 Μέλαινά εἰµι καὶ καλή, θυγατέρες Ιερουσαληµ, ὡς σκηνώµατα Κηδαρ, ὡς δέρρεις Σαλωµων.	 I am black, but beautiful, ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.	 ⲁⲛⲟⲕ ⲁⲛ[ⲅ̅ ⲟⲩ]ⲕⲁⲙⲏ ⲁⲗⲗⲁ ⲛ[ⲉⲥⲱ]ⲉⲓ ⲉⲛ̅ϣⲉⲉⲣⲉ ⲙ̅[ⲡⲓⲏ̅]ⲗ̅. ⲛ̅ⲑⲉ ⲛ̅ⲛⲉⲥⲕⲏⲛⲏ ⲛ̅ⲕⲏⲇⲁⲣ ⲛ̅ⲑⲉ ⲇⲉ ⲛ̅ⲛ̅ⲇⲉⲣⲣⲓⲥ ⲛ̅ⲥⲟⲗⲟⲙⲱⲛ.
Song of Songs	1	6			 [ⲙ̈ⲡⲉⲗ]ⲥⲁⲙⲉⲥ ⲉⲗⲁⲓ̈ ϫⲉ ⲁⲛⲁⲕ ⲟⲩⲕⲁⲙⲏ÷ ⲡⲣⲉ ⲡⲉ. ⲛ̈ⲧⲁϥϩⲓ ϩⲧ[ⲉⲓ̈ ⲙ̈ⲙⲁⲓ̈÷ (ⲛⲓ)]ⲛϣⲏⲗⲓ ⲛ̈ⲧⲁⲙⲉⲩ ⲛⲉⲧⲁⲩϣⲱϫⲓ ⲛ̈ϩⲏⲧ÷ ⲁⲩⲕⲉⲧ ⲛ̈ⲛⲟⲩ[ⲁⲗⲉϩ ⲉⲙ̈ⲙⲁ] ⲛ̈ⲛⲁⲗⲁⲗⲉⲓ÷ ⲡⲁⲙⲉ ⲛⲁⲗⲁⲗⲉⲓ ⲁⲛⲁⲕ ⲙ̈ⲡⲉⲓⲁⲗⲉϩ ⲉⲗ[ⲁϥ÷]					 µὴ βλέψητέ µε, ὅτι ἐγώ εἰµι µεµελανωµένη, ὅτι παρέβλεψέν µε ὁ ἥλιος· υἱοὶ µητρός µου ἐµαχέσαντο ἐν ἐµοί, ἔθεντό µε φυλάκισσαν ἐν ἀµπελῶσιν· ἀµπελῶνα ἐµὸν οὐκ ἐφύλαξα.	 Look not upon me, because I am dark, because the sun has looked unfavourably upon me: my mother’s sons strove with me; they made me keeper in the vineyards; I have not kept my own vineyard.	 ⲙ̅ⲡⲣ̅ϭⲱϣⲧ̅ ⲉⲣⲟⲓ ϫⲉ ⲁⲛⲅ̅ ⲟⲩⲕⲁⲙⲏ. ⲁⲛⲟⲕ ⲡⲣⲏ ⲡⲉⲛⲧⲁϥⲕⲁⲁⲧ ⲛ̅[ⲥⲱϥ. ⲛ̅ϣ]ⲏⲣⲉ ⲛ̅ⲧⲁⲙ[ⲁⲁⲩ ⲁⲩⲙⲓ]ϣⲉ ⲛⲙ̅[ⲙⲁⲓ. ⲁⲩⲕⲁⲁ]ⲧ ⲉⲣⲟⲓ̈ⲥ [ⲉϩⲉⲛⲙⲁ] ⲛ̅ⲉⲗⲟⲟⲗⲉ. [ⲡⲁⲙⲁ ⲛ̅]ⲉⲗⲟⲟⲗⲉ [ⲁⲛⲟⲕ ⲙ̅]ⲡⲓⲣⲟⲉⲓⲥ [ⲉⲣⲟϥ].
Song of Songs	1	7			 [ⲙⲁⲧⲁ]ⲙⲁⲉⲓ ⲉⲡⲏ ⲉⲧⲉ[[ⲙ]] ⲁ ⲧⲁⲯⲩⲭⲏ ⲙⲉⲗⲗⲓⲧϥ÷ ⲁⲕⲙⲁⲛⲉⲓ ⲧⲟⲛ[÷ ⲁⲕⲓ̈ⲗ ϣⲉⲓ̈]ⲗⲓ ⲧⲟⲛ ⲙ̈ⲡⲛⲉⲩ ⲙ̈ⲙⲏⲗⲓ÷ ⲙⲉⲛⲧⲟⲩϫⲁⲡⲧ ⲉϩⲗⲏⲓ̈ ⲉϩⲉ[ⲛⲁϩⲓ ⲛ̈ⲧⲉ ⲛ]ⲓϣⲉⲙⲙⲁ					 Ἀπάγγειλόν µοι, ὃν ἠγάπησεν ἡ ψυχή µου, ποῦ ποιµαίνεις, ποῦ κοιτάζεις ἐν µεσηµβρίᾳ, µήποτε γένωµαι ὡς περιβαλλοµένη ἐπ’ ἀγέλαις ἑταίρων σου.	 Tell me, thou whom my soul loves, where thou tendest thy flock, where thou causest them to rest at noon, lest I become as one that is veiled by the flocks of thy companions.	 ⲙⲁⲧⲁⲙⲟⲓ ϭⲉ [ⲡⲉⲛ]ⲧⲁ ⲧⲁⲯⲩⲭⲏ ⲙⲉ[ⲣⲓⲧϥ̅]. ϫⲉ ⲉⲕⲙⲟⲟⲛⲉ [ⲧⲱⲛ] ⲁⲩⲱ ⲉⲕⲣ̅ϣⲁⲓ[ⲣⲉ ⲧ]ⲱⲛ ⲙ̅ⲡⲛⲁⲩ ⲙ̅[ⲙ]ⲉⲉⲣⲉ. ⲙ̅ⲡⲣ̅ⲧⲣⲁϭⲟⲟⲗⲉⲧ ⲧⲁⲉⲓ ⲉϫⲛ̅ ⲛ̅ⲁⲅⲉⲗⲏ ⲛ̅ⲛⲉⲕϣ̅ⲃⲉⲉⲣ.
Song of Songs	1	8			 ⲉϣⲱⲡⲓ ⲉⲗⲉ[ⲧⲓⲙⲥⲟ]ⲩⲱⲛ[ⲓ ⲧⲉⲧ]ⲛⲁⲛⲟⲩ[ⲥ ⲛ̈ⲛⲉ]ϩ[ⲓⲁⲙ]ⲓ ⲁⲙⲏ ⲉⲃⲁⲗ ϩⲁⲗⲉⲧⲟⲩ [ⲛ̈ⲛⲓⲛⲁϩⲓ ⲛ̈ⲧⲉⲙⲁⲛⲓ ⲛ̈ⲛⲉ]ⲃⲁⲙⲡⲓ÷ ϩⲗⲏⲓ̈ ⲛ̈ⲛⲓⲙⲁ ⲛϣⲱⲡⲉ ⲛ̈ⲧ[ⲉ ⲛⲓⲛⲙⲁⲛⲓ÷]					 Ἐὰν µὴ γνῷς σεαυτήν, ἡ καλὴ ἐν γυναιξίν, ἔξελθε σὺ ἐν πτέρναις τῶν ποιµνίων καὶ ποίµαινε τὰς ἐρίφους σου ἐπὶ σκηνώµασιν τῶν ποιµένων.	 If thou know not thyself, thou fair one among women, go thou forth by the footsteps of the flocks, and feed thy kids by the shepherd’s tents.	 ⲉϣⲱⲡⲉ ⲉⲣⲉⲧⲙ̅ⲥⲟⲩⲱⲛⲧ̅ ⲧⲉⲧⲛⲉⲥⲱⲥ ϩⲛ̅ ⲛⲉϩⲓⲟⲙⲉ ⲉⲓⲥ ⲁⲙⲏ ⲉⲃⲟⲗ ⲛ̅ⲧⲉ ⲉⲑⲁⲏ ⲛ̅ⲛⲟ[ϩ]ⲉ. ⲛ̅ⲧⲉⲙⲟⲟⲛⲉ [ⲛ̅ⲛ̅ⲟⲩⲃⲁⲁⲙ]ⲡⲉ ϩⲛ̅ ⲛ̅[ⲥⲕⲏⲛⲏ] ⲛ̅ⲛ̅ϣⲱⲱⲥ
Song of Songs	1	9			 [ⲁⲉⲓⲓ̈ⲛⲓ ⲛ̈]ⲧⲁϩⲧⲁⲣⲓ ϩⲗⲏⲓ̈ ϩⲓⲛ ⲛⲓⲛⲁⲣⲙⲁ ⲙ̈[ⲫⲁⲣⲁⲱ ⲧⲁⲁⲗⲏⲟⲩ÷]					 Τῇ ἵππῳ µου ἐν ἅρµασιν Φαραω ὡµοίωσά σε, ἡ πλησίον µου.	 I have likened thee, my companion, to my horses in the chariots of Pharao.	 [ⲧⲉⲧ]ϩⲓⲧⲟⲩⲱⲓ [ⲁⲓⲧⲛ̅ⲧⲱ]ⲛⲉ ⲉⲧⲁϩⲧ[ⲱⲣⲉ ϩⲛ̅]  ⲛ̅ϩⲁⲣⲙⲁ ⲙ̅ⲫ[ⲁⲣⲁⲱ]
Song of Songs	1	10			 [ⲁϩⲁ] ⲛⲉⲩⲁϫⲓ ⲛⲁⲥⲱⲟⲩ ⲛ̈ⲑⲏ ⲛ̈ϩⲉⲛ[ϫⲣⲉⲙⲡϣⲁⲗ÷ ⲡⲉⲙⲁϯ. ⲛ̈ⲑⲏ ⲛ̈ⲟ]ⲩϩⲟⲣⲙⲓⲥⲕⲟⲥ÷					 τί ὡραιώθησαν σιαγόνες σου ὡς τρυγόνες, τράχηλός σου ὡς ὁρµίσκοι;	 How are thy cheeks beautiful as those of a dove, thy neck as chains!	 ⲛ̅ⲟⲩⲟϭⲉ ⲁⲩⲥ[ⲁ ⲛ̅ⲑⲉ]ⲛ̅ϩⲉⲛϭⲣⲙ̅ⲡϣ[ⲁⲛ]. ⲡⲟⲩⲙⲁⲕϩ̅ ⲁϥ[ⲥⲁ ⲛ̅]ⲑⲉ ⲛ̅ϩⲉⲛϩⲟⲣ[ⲙⲓ]ⲥⲕⲟⲥ.
